IDLink,Title,Headline,Source,PublishDate,SentimentTitle,SentimentHeadline,Facebook,GooglePlus,LinkedIn,Year,Month,DayOfWeek,Hour
46462,Get a $50 Microsoft Store gift card with Xbox One purchase until May ...,"The $50 discount for the Xbox One is no longer available, but Microsoft has a new promotional offer for buyers of the console at its website.",Windows Central,2016-05-01 08:47:22,-0.09646560747710001,-0.0291666666666666,9,2,1,2016,5,6,8
46791,Flow is Microsoft’s answer to IFTTT,"IFTTT (If This Then That) is looking at big competition as Microsoft enters the fray for automated processes. A blog post shows Microsoft has been taking a good look at IFTTTs formula because its new Microsoft Flow service seems awkwardly similar. It’s more limited than IFTTT, which makes perfect sense since it’s still in its preview stages. But with Microsoft at the wheel, it’s got huge ",Digital Trends via Yahoo! News,2016-05-01 11:10:00,0.0104990131391453,0.0899699134680924,0,0,0,2016,5,6,11
46538,Microsoft's IE loses top browser spot to Google's Chrome,"Internet Explorer in April lost the No. 1 spot to Google's Chrome, marking a dramatic changing of the desktop browser guard. ",Computer World Australia,2016-05-01 11:31:00,-0.0925925925925927,-0.0380442121171839,111,0,6,2016,5,6,11
46542,This Microsoft legend says the the company is making bigger bets than ever before,Microsoft Research is more important to the tech titan than ever. Crucial futuristic ,Business Insider via Yahoo! Finance,2016-05-01 11:39:00,0.0,0.0,1,0,0,2016,5,6,11
46569,Windows 10 Mobile Build 10586.306 now being tested internally,"Microsoft is actively working on the next major update for Windows 10 and Windows 10 Mobile: the Anniversary Update. However, the company",MSPoweruser.com,2016-05-01 14:00:21,0.0944911182523068,0.167705098312484,23,0,0,2016,5,6,14
46505,Microsoft Store now offering $150 off the Surface Book with Intel ...,The Microsoft Store in the United States is currently offering a sweet deal on the Surface Book. The store is offering $150 off the Surface Book's,MSPoweruser.com,2016-05-01 15:02:27,0.10101720303315599,0.0638888888888888,3,0,0,2016,5,6,15
46524,Are Microsoft and Sony Both Working on Updated Gaming Consoles?,"(NYSE:SNE) and Microsoft Corporation (NASDAQ:MSFT) will be improving the PlayStation 4 and the Xbox One, respectively. While perhaps",Motley Fool,2016-05-01 16:20:21,0.0,0.172061800402921,8,0,0,2016,5,6,16
46520,Famous programmer who sold his company to Microsoft for about ...,"In February, Miguel de Icaza and Nat Friedman finally sold their company, Xamarin, to Microsoft for a reported $400 million to $500 million, a sale that many",Business Insider,2016-05-01 17:37:24,0.15811388300841903,-0.075,274,12,786,2016,5,6,17
46631,Microsoft's IE loses top browser spot to Google's Chrome,"Microsoft's Internet Explorer (IE) last month lost the No. 1 spot to Google's Chrome, marking a major milestone not only in IE's 21-year lifespan, but a dramatic changing of the desktop browser guard. ",MIS Asia,2016-05-01 18:46:00,-0.0925925925925927,-0.119692554107098,118,0,0,2016,5,6,18
46539,Microsoft's IE loses top browser spot to Google's Chrome,"Microsoft's Internet Explorer (IE) last month lost the No. 1 spot to Google's Chrome, marking a major milestone not only in IE's 21-year lifespan,",Computerworld,2016-05-01 19:12:21,-0.0925925925925927,-0.0890530310035423,118,99,139,2016,5,6,19
46543,Flow is Microsoft's answer to IFTTT,IFTTT (If This Then That) is looking at big competition as Microsoft enters the fray for automated processes. A blog post shows Microsoft has,Digital Trends,2016-05-01 19:20:22,0.011340230290663,0.062725648795229,14,3,10,2016,5,6,19
